Time / ns,Supergaussian Order,Diameter (FWHM) /mm,Error (FWHM) /mm,Diameter (FWNM) / mm,Error (FWNM) / mm
0.2,8,0.423510725,0.013874528,0.325620091,0.002968127
0.4,6,0.425084661,0.012891154,0.318385097,0.003177028
0.6,6,0.412005427,0.019068138,0.300696349,0.013943797
0.8,6,0.390873941,0.015731125,0.285243582,0.011504277
1,2,0.432103231,0.041062503,0.204912653,0.065974155
1.2,2,0.409165348,0.051423573,0.191009291,0.05124832
1.4,2,0.349157158,0.02810444,0.192343032,0.049459576
1.6,2,0.288749204,0.010439761,0.111165446,0.004121714
1.8,4,0.195525931,0.04756036,0.093973232,0.045496472
2,8,0.349959349,0.047942451,0.228276322,0.073978979